feature,mi
Blood Pressure_149/84,0.02144773798246491
Blood Pressure_166/103,0.020585016215241003
Blood Pressure_159/63,0.018558283393849795
Blood Pressure_114/91,0.018018300289956102
Blood Pressure_155/84,0.01748220405108758
Blood Pressure_167/61,0.016832031066077446
Blood Pressure_161/99,0.016649635976123678
Blood Pressure_100/91,0.016523890279829923
Blood Pressure_140/89,0.016361461756412288
Blood Pressure_126/61,0.01635535412764244
Blood Pressure_118/90,0.01626878585466729
Blood Pressure_175/99,0.01596291313192566
Blood Pressure_164/95,0.01585676322019669
Blood Pressure_110/88,0.0158329762452325
Blood Pressure_98/66,0.015634045414547826
Blood Pressure_146/79,0.015621848137941763
Blood Pressure_139/78,0.015576448924115693
Blood Pressure_134/106,0.015315917678627278
Blood Pressure_98/91,0.015108262943412054
Blood Pressure_114/106,0.014708743311841355
Blood Pressure_103/85,0.014492903648849031
Blood Pressure_168/93,0.014378344311403612
Blood Pressure_164/63,0.014352501323601219
Blood Pressure_169/103,0.014334307533663049
Blood Pressure_100/78,0.014328956413207194
Blood Pressure_163/104,0.01422088222525364
Blood Pressure_156/87,0.014196801243285817
Blood Pressure_179/102,0.014161791079158936
Blood Pressure_168/66,0.014020149433187301
Blood Pressure_127/66,0.013962049679823396
Blood Pressure_129/106,0.013927753973942414
Blood Pressure_136/93,0.0137099504241045
Blood Pressure_101/96,0.013685830183846726
Blood Pressure_127/76,0.013682765714233547
Blood Pressure_146/80,0.013654402017265532
Blood Pressure_114/80,0.013572191223345076
Blood Pressure_178/98,0.013565729801100934
Blood Pressure_139/106,0.01346811293208594
Blood Pressure_109/88,0.013455356863913082
Blood Pressure_130/102,0.013438034957130363
Blood Pressure_130/106,0.013394212497587876
Blood Pressure_146/61,0.013241165849948056
Blood Pressure_93/94,0.013240001599662099
Blood Pressure_109/77,0.013181769481279915
Blood Pressure_100/73,0.013120397020357277
Blood Pressure_125/64,0.012967127817227642
Blood Pressure_179/61,0.012935342093726154
Blood Pressure_163/79,0.012911254446771325
Blood Pressure_109/89,0.01289804881210821
Blood Pressure_146/106,0.012867695521574074
Blood Pressure_163/105,0.012702584805192041
Blood Pressure_130/65,0.012621924313563238
Blood Pressure_120/91,0.012493843026336604
Blood Pressure_111/72,0.012475371895003473
Blood Pressure_90/104,0.012409708833303501
Blood Pressure_126/65,0.012407513382709512
Blood Pressure_150/104,0.012375191919280937
Blood Pressure_111/63,0.012318868478297773
Blood Pressure_150/84,0.012094700906266409
Blood Pressure_169/97,0.012093131514787858
Blood Pressure_139/107,0.01207258065408845
Blood Pressure_122/93,0.01205493770345556
Blood Pressure_153/74,0.011981369080636739
Blood Pressure_106/74,0.011970768611491156
Blood Pressure_128/68,0.011946823200363887
Blood Pressure_136/85,0.01193656458081449
Blood Pressure_164/85,0.01192631468934735
Blood Pressure_102/108,0.011918092081841136
Blood Pressure_162/110,0.011867991489121543
Blood Pressure_157/101,0.011841020863378793
Blood Pressure_116/106,0.0118219450666317
Blood Pressure_173/93,0.011807915241235145
Blood Pressure_172/74,0.011774411074680469
Blood Pressure_150/62,0.011701878761173345
Blood Pressure_160/107,0.011682506669852932
Blood Pressure_127/68,0.011676515928782827
Blood Pressure_110/82,0.011647347692480325
Blood Pressure_109/79,0.011578212612640026
Blood Pressure_107/99,0.011570341474577583
Blood Pressure_94/100,0.011550153042019673
Blood Pressure_154/67,0.011518295764987307
Blood Pressure_149/104,0.011411950581684316
Blood Pressure_92/95,0.011406626058251046
Blood Pressure_122/70,0.01139775151778255
